,how company compares to its peers?,what is the detailed income statement breakdown of Axa?,world premium penetration in 2020,How does the forecasted insurance premium penetration in country trend compare to its peers?,what are the total losses for companies in country  non life market?,Insurance premiums market in Country,"How have the profit margins been for the airlines industry through the years, by regions?",What is the complete profile of the top oil rigs?,what is company general information?,How is the airline industry performing globally?,how does economic profit for in country compare to others?,most profitable insurance company India,Give me a detailed breakup of the income and expenses in South-East Asia,Show me all the oil rigs in the world,What were the premiums earned by the Indian insurance industry in 2020?,How much have premiums grown as compared to claims for India?,Which are the best performing insurance firms in India?,What is the ROE of the Indian market?,What profits were clocked by Cholamandalam in 2020?,What is the premiums market share of the top 5 companies in India?,How will the Brazilian insurance market perform in case of a sluggish economic scenario?,Which are the main distribution channels in India?,What are the risks in the motor insurance segment in India?,What is the demand potential of India for insurance?,How do premiums break down by lines of business in India?,What is the share price of Qantas?,How many passengers are carried in ?,Which are the aircrafts manufactured by Boeing?,Kdo je nejv?t�� konkurent ?esk� Poji�?ovny?,Which are the top airports?,How many fatal air accidents till date?,What is the flow of air traffic in North America?,What is the fleet of Airbus?,Airlines profitability Brazil?,Mergers among airline companies?,Which are the most profitable airports?,What has the capacity movement of airline companies been over the years?,Details of the Aban Abraham oil rig?,How big is the airlines industry in China?,How much money did Lloyd's of London make last year?,What was the Calendar year COR versus the Accident year COR for Lloyd's?,Which Lloyd's syndicates owns the maximum number of assets?,List key performance indicators for AXA?,What are the most prominent legal cases?,How does oil industry perform in Brazil?,What is the main driver of growth in automobile industry in Europe?,Which country in Europe is going to grow the most in 2020?,What are the biggest acquisitions in 2020?,How impacted is the airline industry in 2020?,What are the most prominent bankruptcies in 2020?
how company compares to its peers?,1.0000005,0.51488453,0.3693382,0.5964462,0.51763076,0.2529961,0.5027057,0.43721917,0.5840622,0.552961,0.6683995,0.437886,0.38851458,0.39119878,0.4246901,0.51498896,0.41132164,0.41869068,0.4101115,0.5512776,0.4518829,0.35519102,0.43634948,0.43308038,0.42819944,0.5338269,0.39475334,0.28569987,0.08853128,0.2660889,0.26385644,0.38619772,0.4334047,0.2426524,0.21953207,0.36640367,0.5139464,0.22801296,0.49912968,0.4325613,0.44124457,0.37234706,0.28183302,0.33274665,0.5117516,0.46669337,0.46129048,0.41917682,0.5673742,0.34988183
what is the detailed income statement breakdown of Axa?,0.51488453,0.9999995,0.31176057,0.50318146,0.570575,0.30467495,0.4878559,0.56663716,0.6142342,0.4414386,0.586596,0.3687451,0.69225866,0.36966026,0.49253008,0.47610435,0.45752174,0.5072422,0.43480864,0.5646434,0.47541913,0.45534897,0.56853575,0.5159299,0.48778298,0.57467616,0.36902463,0.3680674,0.048135944,0.4211403,0.2719816,0.4337031,0.50518847,0.15945926,0.18599418,0.45229858,0.4740442,0.35803777,0.4320428,0.43877044,0.46970624,0.40726304,0.42289528,0.49738473,0.4125036,0.51866853,0.49584836,0.4612233,0.4654093,0.47977382
world premium penetration in 2020,0.3693382,0.31176057,1.0000004,0.721178,0.46942645,0.45965332,0.44611976,0.38841578,0.35153756,0.3699008,0.3744725,0.5144357,0.35958627,0.40925932,0.4840723,0.43740234,0.4336661,0.36746502,0.41697788,0.6070386,0.4664029,0.4488795,0.5112061,0.48771515,0.42522544,0.46612826,0.30468446,0.32368493,0.025512263,0.33999392,0.23262508,0.39338064,0.3314508,0.23633464,0.23613304,0.38773388,0.43059722,0.1721283,0.39931822,0.23391564,0.31160536,0.3632076,0.25417832,0.29895702,0.35447237,0.49478328,0.5259161,0.41974172,0.3899923,0.36782107
How does the forecasted insurance premium penetration in country trend compare to its peers?,0.5964462,0.50318146,0.721178,1.0000004,0.63342243,0.56752884,0.6175155,0.5772184,0.5033633,0.5961312,0.68888295,0.5878039,0.516297,0.46895853,0.6759012,0.6841259,0.63463885,0.573571,0.5256417,0.7431433,0.71651334,0.552162,0.6953165,0.63441086,0.6705446,0.6153031,0.5097492,0.44097224,0.07641027,0.49751455,0.4263028,0.52471566,0.5437419,0.3109211,0.29420775,0.5406308,0.5802747,0.25884366,0.6227206,0.5200793,0.52222073,0.48761907,0.40879604,0.45801732,0.6422805,0.62271494,0.6606759,0.56264454,0.6421267,0.5267397
what are the total losses for companies in country  non life market?,0.51763076,0.570575,0.46942645,0.63342243,0.9999998,0.3963095,0.7337739,0.6020169,0.58111584,0.58449936,0.6854949,0.54737544,0.58019036,0.60130644,0.69820803,0.6124443,0.7227652,0.54763,0.6170991,0.72192365,0.63050634,0.614785,0.72821903,0.64764965,0.61813074,0.5729209,0.5840608,0.56411314,0.057136226,0.604602,0.43007407,0.5249978,0.5373374,0.2729372,0.3316457,0.6446636,0.6888096,0.30783525,0.66479236,0.54118544,0.5565282,0.5724734,0.4432149,0.61684394,0.5437398,0.6577916,0.70812285,0.67506725,0.63177854,0.6752305
Insurance premiums market in Country,0.2529961,0.30467495,0.45965332,0.56752884,0.3963095,0.99999964,0.41438538,0.21488911,0.27960107,0.3301914,0.37401763,0.59527075,0.36531505,0.2721319,0.70929563,0.5361112,0.50651366,0.3182332,0.428337,0.6352048,0.52268404,0.2400684,0.5595932,0.27958366,0.5583186,0.32658628,0.20551836,0.19828373,0.0113024805,0.18570542,0.24800262,0.21145378,0.23275246,0.33324996,0.3123574,0.2776948,0.3042996,0.17296064,0.34187788,0.21510527,0.3663107,0.28276116,0.22748962,0.17730154,0.2889592,0.39084217,0.28515556,0.2877252,0.36646122,0.2985532
"How have the profit margins been for the airlines industry through the years, by regions?",0.5027057,0.4878559,0.44611976,0.6175155,0.7337739,0.41438538,1.0000004,0.59264797,0.51995045,0.7139354,0.6929141,0.54417014,0.5884456,0.57431036,0.71107334,0.6382943,0.62218297,0.5690823,0.6895859,0.7165629,0.6560309,0.55820084,0.6649107,0.6499575,0.69440275,0.60144794,0.5907906,0.56677043,0.056661755,0.52187514,0.45380864,0.5334005,0.54301786,0.4883888,0.46843064,0.6090732,0.7928916,0.34412578,0.79550004,0.5440429,0.5303825,0.4819118,0.39662623,0.51724243,0.6223467,0.64575744,0.61480117,0.6122883,0.77092093,0.59590316
What is the complete profile of the top oil rigs?,0.43721917,0.56663716,0.38841578,0.5772184,0.6020169,0.21488911,0.59264797,1.0000002,0.5276489,0.58036435,0.53429127,0.35821342,0.5230828,0.63071835,0.5425532,0.46003067,0.6091251,0.6170779,0.44198728,0.6594605,0.5570501,0.59110713,0.62130994,0.6743089,0.508469,0.63434756,0.464251,0.5064271,0.025009472,0.7107826,0.35709742,0.585926,0.65243506,0.187388,0.29127228,0.59401876,0.62377536,0.4453699,0.6454394,0.53256845,0.5199398,0.5114444,0.46024927,0.66707176,0.64653295,0.63287777,0.6565494,0.6513043,0.57505596,0.6379684
what is company general information?,0.5840622,0.6142342,0.35153756,0.5033633,0.58111584,0.27960107,0.51995045,0.5276489,1.0000002,0.5766001,0.55672705,0.45764926,0.42291376,0.39633405,0.46973276,0.41475633,0.5002091,0.52788657,0.44650483,0.6190469,0.50753796,0.5075717,0.5497469,0.58438337,0.42095178,0.61535937,0.34413037,0.3986399,0.046526384,0.45470765,0.22689536,0.46538913,0.58255976,0.24501981,0.24821135,0.5001401,0.59530705,0.25230896,0.54896575,0.40398207,0.429384,0.44572088,0.2749601,0.51327735,0.48122653,0.6244387,0.5604359,0.561478,0.5575527,0.46483657
How is the airline industry performing globally?,0.552961,0.4414386,0.3699008,0.5961312,0.58449936,0.3301914,0.7139354,0.58036435,0.5766001,0.9999998,0.58419675,0.5015113,0.44141385,0.49283427,0.5842686,0.5247944,0.66644365,0.55751723,0.48371872,0.62127244,0.65573794,0.46534988,0.5648791,0.5797816,0.5586923,0.5444684,0.56610084,0.48041633,0.06752873,0.4959106,0.4456953,0.5396349,0.62488186,0.46817654,0.5812761,0.5572119,0.73265517,0.31314433,0.85391843,0.50630724,0.42339998,0.40827766,0.3911727,0.4930278,0.7812855,0.65117407,0.6098763,0.49565864,0.87246764,0.5342444
how does economic profit for in country compare to others?,0.6683995,0.586596,0.3744725,0.68888295,0.6854949,0.37401763,0.6929141,0.53429127,0.55672705,0.58419675,0.9999999,0.5019334,0.60187525,0.48347047,0.56915975,0.6251187,0.5646815,0.5246629,0.5465116,0.6289147,0.6932522,0.4760473,0.5776174,0.6241733,0.6125671,0.6053829,0.49291286,0.3814661,0.082484506,0.44235194,0.38561985,0.46064934,0.4636127,0.29998133,0.28322992,0.5384065,0.56699175,0.256779,0.6269063,0.6290156,0.49904576,0.44191742,0.42320356,0.48940352,0.66806823,0.6060583,0.66012025,0.55794966,0.6311783,0.5411113
most profitable insurance company India,0.437886,0.3687451,0.5144357,0.5878039,0.54737544,0.59527075,0.54417014,0.35821342,0.45764926,0.5015113,0.5019334,0.9999997,0.43999738,0.3633645,0.6529994,0.49155876,0.603471,0.42264557,0.50681764,0.6199233,0.57311875,0.38619167,0.5699742,0.4903178,0.506449,0.35870287,0.30717912,0.32550925,-0.012411274,0.3198513,0.31765124,0.2708439,0.34858772,0.42344078,0.419333,0.6153186,0.47796324,0.26113126,0.48984033,0.31701466,0.2927688,0.41882998,0.26485845,0.37656468,0.41521123,0.5374968,0.49941352,0.46382603,0.5063141,0.4436633
